seq,stamp,frame_id,latitude,longitude,altitude,utm_easting,utm_northing,zone,letter,hdop,gpgga_read
72,1706649477.0,GPS1_Frame,42.338271666666664,-71.08642333333333,26.9,328121.9608875561,4689443.457618685,19,T,1.3,"$GPGGA,211757.000,4220.2963,N,07105.1854,W,1,08,1.3,26.9,M,-33.8,M,,0000*5A"
73,1706649478.0,GPS1_Frame,42.33826666666667,-71.08643000000001,27.1,328121.3980464105,4689442.915882761,19,T,1.3,"$GPGGA,211758.000,4220.2960,N,07105.1858,W,1,08,1.3,27.1,M,-33.8,M,,0000*53"
74,1706649479.0,GPS1_Frame,42.33826166666667,-71.08643666666667,27.3,328120.8352051788,4689442.374146881,19,T,1.3,"$GPGGA,211759.000,4220.2957,N,07105.1862,W,1,08,1.3,27.3,M,-33.8,M,,0000*5D"
75,1706649480.0,GPS1_Frame,42.338256666666666,-71.08644166666667,27.2,328120.40966841497,4689441.829042022,19,T,1.3,"$GPGGA,211800.000,4220.2954,N,07105.1865,W,1,08,1.3,27.2,M,-33.8,M,,0000*5B"
76,1706649481.0,GPS1_Frame,42.338253333333334,-71.08644833333334,27.4,328119.85136808257,4689441.4723768495,19,T,1.6,"$GPGGA,211801.000,4220.2952,N,07105.1869,W,1,07,1.6,27.4,M,-33.8,M,,0000*5C"
77,1706649482.0,GPS1_Frame,42.33824833333333,-71.086455,27.6,328119.2885266178,4689440.930641088,19,T,1.3,"$GPGGA,211802.000,4220.2949,N,07105.1873,W,1,08,1.3,27.6,M,-33.8,M,,0000*56"
78,1706649483.0,GPS1_Frame,42.338245,-71.08646,27.7,328118.8675307351,4689440.5706069525,19,T,1.3,"$GPGGA,211803.000,4220.2947,N,07105.1876,W,1,08,1.3,27.7,M,-33.8,M,,0000*5D"
79,1706649484.0,GPS1_Frame,42.33824166666667,-71.086465,27.7,328118.4465348093,4689440.210572841,19,T,1.3,"$GPGGA,211804.000,4220.2945,N,07105.1879,W,1,08,1.3,27.7,M,-33.8,M,,0000*57"
80,1706649485.0,GPS1_Frame,42.33823833333334,-71.08647,27.8,328118.02553884033,4689439.850538754,19,T,1.3,"$GPGGA,211805.000,4220.2943,N,07105.1882,W,1,08,1.3,27.8,M,-33.8,M,,0000*5B"
81,1706649486.0,GPS1_Frame,42.338233333333335,-71.08647666666667,27.9,328117.4626971065,4689439.308803131,19,T,1.3,"$GPGGA,211806.000,4220.2940,N,07105.1886,W,1,08,1.3,27.9,M,-33.8,M,,0000*5E"
82,1706649487.0,GPS1_Frame,42.338226666666664,-71.08648166666667,28.0,328117.03261877154,4689438.578627835,19,T,1.3,"$GPGGA,211807.000,4220.2936,N,07105.1889,W,1,08,1.3,28.0,M,-33.8,M,,0000*57"
83,1706649488.0,GPS1_Frame,42.33822,-71.08648833333334,28.2,328116.4652357177,4689437.8518216545,19,T,1.3,"$GPGGA,211808.000,4220.2932,N,07105.1893,W,1,08,1.3,28.2,M,-33.8,M,,0000*55"
84,1706649489.0,GPS1_Frame,42.338215,-71.08649666666666,28.2,328115.7650890676,4689437.313455256,19,T,1.6,"$GPGGA,211809.000,4220.2929,N,07105.1898,W,1,06,1.6,28.2,M,-33.8,M,,0000*5E"
85,1706649490.0,GPS1_Frame,42.338211666666666,-71.08650333333334,28.1,328115.2067881379,4689436.956790439,19,T,1.3,"$GPGGA,211810.000,4220.2927,N,07105.1902,W,1,07,1.3,28.1,M,-33.8,M,,0000*5D"
86,1706649491.0,GPS1_Frame,42.338206666666665,-71.08650833333333,28.1,328114.78125062305,4689436.411685904,19,T,1.3,"$GPGGA,211811.000,4220.2924,N,07105.1905,W,1,08,1.3,28.1,M,-33.8,M,,0000*57"
87,1706649492.0,GPS1_Frame,42.3382,-71.08651166666667,28.4,328114.4884765222,4689435.678141629,19,T,1.3,"$GPGGA,211812.000,4220.2920,N,07105.1907,W,1,08,1.3,28.4,M,-33.8,M,,0000*57"
88,1706649493.0,GPS1_Frame,42.33819666666667,-71.08651333333333,28.1,328114.3420894519,4689435.311369498,19,T,1.3,"$GPGGA,211813.000,4220.2918,N,07105.1908,W,1,08,1.3,28.1,M,-33.8,M,,0000*57"
89,1706649494.0,GPS1_Frame,42.338195,-71.08651666666667,28.1,328114.0629388773,4689435.133037138,19,T,1.6,"$GPGGA,211814.000,4220.2917,N,07105.1910,W,1,06,1.6,28.1,M,-33.8,M,,0000*5D"
90,1706649495.0,GPS1_Frame,42.33819166666667,-71.08651833333333,27.9,328113.9165517773,4689434.766265013,19,T,1.3,"$GPGGA,211815.000,4220.2915,N,07105.1911,W,1,08,1.3,27.9,M,-33.8,M,,0000*53"
91,1706649496.0,GPS1_Frame,42.33819,-71.08652166666667,27.6,328113.6374011704,4689434.587932669,19,T,1.3,"$GPGGA,211816.000,4220.2914,N,07105.1913,W,1,08,1.3,27.6,M,-33.8,M,,0000*5C"
92,1706649497.0,GPS1_Frame,42.338186666666665,-71.08652333333333,27.3,328113.49101403635,4689434.2211605515,19,T,1.3,"$GPGGA,211817.000,4220.2912,N,07105.1914,W,1,08,1.3,27.3,M,-33.8,M,,0000*59"
93,1706649498.0,GPS1_Frame,42.33818333333333,-71.08652666666667,26.9,328113.2073221742,4689433.857757592,19,T,1.3,"$GPGGA,211818.000,4220.2910,N,07105.1916,W,1,08,1.3,26.9,M,-33.8,M,,0000*5D"
94,1706649499.0,GPS1_Frame,42.33818,-71.08652833333333,26.7,328113.060935005,4689433.490985485,19,T,1.3,"$GPGGA,211819.000,4220.2908,N,07105.1917,W,1,08,1.3,26.7,M,-33.8,M,,0000*5A"
