seq,stamp,frame_id,latitude,longitude,altitude,utm_easting,utm_northing,zone,letter,hdop,gpgga_read,fix_quality
65,1706726398.0,GPS1_Frame,41.97347166666667,-87.90024,149.0,425412.97630671615,4647222.721429018,16,T,1.9,"$GPGGA,183958.000,4158.4083,N,08754.0144,W,1,06,1.9,149.0,M,-34.1,M,,0000*61",
66,1706726399.0,GPS1_Frame,41.97347166666667,-87.90024,149.0,425412.97630671615,4647222.721429018,16,T,1.9,"$GPGGA,183959.000,4158.4083,N,08754.0144,W,1,06,1.9,149.0,M,-34.1,M,,0000*60",
67,1706726400.0,GPS1_Frame,41.97347166666667,-87.90024,149.0,425412.97630671615,4647222.721429018,16,T,1.9,"$GPGGA,184000.000,4158.4083,N,08754.0144,W,1,06,1.9,149.0,M,-34.1,M,,0000*62",
68,1706726401.0,GPS1_Frame,41.97347166666667,-87.90024,149.1,425412.97630671615,4647222.721429018,16,T,1.9,"$GPGGA,184001.000,4158.4083,N,08754.0144,W,1,06,1.9,149.1,M,-34.1,M,,0000*62",
69,1706726402.0,GPS1_Frame,41.97347,-87.90024,149.2,425412.97436203924,4647222.536379331,16,T,1.9,"$GPGGA,184002.000,4158.4082,N,08754.0144,W,1,06,1.9,149.2,M,-34.1,M,,0000*63",
70,1706726403.0,GPS1_Frame,41.97347,-87.90023833333333,149.3,425413.1124505575,4647222.534928166,16,T,1.9,"$GPGGA,184003.000,4158.4082,N,08754.0143,W,1,06,1.9,149.3,M,-34.1,M,,0000*64",
71,1706726404.0,GPS1_Frame,41.97346833333334,-87.90023833333333,149.3,425413.11050588434,4647222.349878482,16,T,1.9,"$GPGGA,184004.000,4158.4081,N,08754.0143,W,1,06,1.9,149.3,M,-34.1,M,,0000*60",
72,1706726405.0,GPS1_Frame,41.97346833333334,-87.90023833333333,149.4,425413.11050588434,4647222.349878482,16,T,1.9,"$GPGGA,184005.000,4158.4081,N,08754.0143,W,1,06,1.9,149.4,M,-34.1,M,,0000*66",
73,1706726406.0,GPS1_Frame,41.97346666666667,-87.90023833333333,149.4,425413.1085612112,4647222.164828795,16,T,1.9,"$GPGGA,184006.000,4158.4080,N,08754.0143,W,1,06,1.9,149.4,M,-34.1,M,,0000*64",
74,1706726407.0,GPS1_Frame,41.97346666666667,-87.90023833333333,149.5,425413.1085612112,4647222.164828795,16,T,1.9,"$GPGGA,184007.000,4158.4080,N,08754.0143,W,1,06,1.9,149.5,M,-34.1,M,,0000*64",
75,1706726408.0,GPS1_Frame,41.973465,-87.90023833333333,149.6,425413.10661653813,4647221.979779108,16,T,1.9,"$GPGGA,184008.000,4158.4079,N,08754.0143,W,1,06,1.9,149.6,M,-34.1,M,,0000*6E",
76,1706726409.0,GPS1_Frame,41.973465,-87.90023833333333,149.6,425413.10661653813,4647221.979779108,16,T,1.9,"$GPGGA,184009.000,4158.4079,N,08754.0143,W,1,06,1.9,149.6,M,-34.1,M,,0000*6F",
77,1706726410.0,GPS1_Frame,41.973465,-87.90023833333333,149.7,425413.10661653813,4647221.979779108,16,T,1.9,"$GPGGA,184010.000,4158.4079,N,08754.0143,W,1,06,1.9,149.7,M,-34.1,M,,0000*66",
78,1706726411.0,GPS1_Frame,41.973463333333335,-87.90023833333333,149.7,425413.1046718651,4647221.794729422,16,T,1.9,"$GPGGA,184011.000,4158.4078,N,08754.0143,W,1,06,1.9,149.7,M,-34.1,M,,0000*66",
79,1706726412.0,GPS1_Frame,41.973463333333335,-87.90023833333333,149.7,425413.1046718651,4647221.794729422,16,T,1.9,"$GPGGA,184012.000,4158.4078,N,08754.0143,W,1,06,1.9,149.7,M,-34.1,M,,0000*65",
80,1706726413.0,GPS1_Frame,41.973463333333335,-87.90023833333333,149.7,425413.1046718651,4647221.794729422,16,T,1.9,"$GPGGA,184013.000,4158.4078,N,08754.0143,W,1,06,1.9,149.7,M,-34.1,M,,0000*64",
81,1706726414.0,GPS1_Frame,41.973463333333335,-87.90023833333333,149.7,425413.1046718651,4647221.794729422,16,T,1.9,"$GPGGA,184014.000,4158.4078,N,08754.0143,W,1,06,1.9,149.7,M,-34.1,M,,0000*63",
82,1706726415.0,GPS1_Frame,41.973463333333335,-87.90023833333333,149.8,425413.1046718651,4647221.794729422,16,T,1.9,"$GPGGA,184015.000,4158.4078,N,08754.0143,W,1,06,1.9,149.8,M,-34.1,M,,0000*6D",
83,1706726416.0,GPS1_Frame,41.973463333333335,-87.90023833333333,149.8,425413.1046718651,4647221.794729422,16,T,2.0,"$GPGGA,184016.000,4158.4078,N,08754.0143,W,1,05,2.0,149.8,M,-34.1,M,,0000*67",
84,1706726417.0,GPS1_Frame,41.973463333333335,-87.90023833333333,149.8,425413.1046718651,4647221.794729422,16,T,2.0,"$GPGGA,184017.000,4158.4078,N,08754.0143,W,1,05,2.0,149.8,M,-34.1,M,,0000*66",
85,1706726418.0,GPS1_Frame,41.973461666666665,-87.90023833333333,149.9,425413.10272719216,4647221.609679735,16,T,1.9,"$GPGGA,184018.000,4158.4077,N,08754.0143,W,1,06,1.9,149.9,M,-34.1,M,,0000*6E",
86,1706726419.0,GPS1_Frame,41.973461666666665,-87.90023833333333,149.9,425413.10272719216,4647221.609679735,16,T,1.9,"$GPGGA,184019.000,4158.4077,N,08754.0143,W,1,06,1.9,149.9,M,-34.1,M,,0000*6F",
87,1706726420.0,GPS1_Frame,41.973461666666665,-87.90023666666667,149.9,425413.24081573053,4647221.6082285745,16,T,1.9,"$GPGGA,184020.000,4158.4077,N,08754.0142,W,1,06,1.9,149.9,M,-34.1,M,,0000*64",
88,1706726421.0,GPS1_Frame,41.973461666666665,-87.90023666666667,149.9,425413.24081573053,4647221.6082285745,16,T,1.9,"$GPGGA,184021.000,4158.4077,N,08754.0142,W,1,06,1.9,149.9,M,-34.1,M,,0000*65",
89,1706726422.0,GPS1_Frame,41.973461666666665,-87.90023666666667,149.9,425413.24081573053,4647221.6082285745,16,T,1.9,"$GPGGA,184022.000,4158.4077,N,08754.0142,W,1,06,1.9,149.9,M,-34.1,M,,0000*66",
90,1706726423.0,GPS1_Frame,41.973461666666665,-87.90023666666667,149.9,425413.24081573053,4647221.6082285745,16,T,1.9,"$GPGGA,184023.000,4158.4077,N,08754.0142,W,1,06,1.9,149.9,M,-34.1,M,,0000*67",
91,1706726424.0,GPS1_Frame,41.973461666666665,-87.90023666666667,150.0,425413.24081573053,4647221.6082285745,16,T,1.9,"$GPGGA,184024.000,4158.4077,N,08754.0142,W,1,06,1.9,150.0,M,-34.1,M,,0000*61",
92,1706726425.0,GPS1_Frame,41.973461666666665,-87.90023666666667,150.0,425413.24081573053,4647221.6082285745,16,T,1.9,"$GPGGA,184025.000,4158.4077,N,08754.0142,W,1,06,1.9,150.0,M,-34.1,M,,0000*60",
93,1706726426.0,GPS1_Frame,41.973461666666665,-87.90023666666667,150.0,425413.24081573053,4647221.6082285745,16,T,1.9,"$GPGGA,184026.000,4158.4077,N,08754.0142,W,1,06,1.9,150.0,M,-34.1,M,,0000*63",
94,1706726427.0,GPS1_Frame,41.973461666666665,-87.90023666666667,150.0,425413.24081573053,4647221.6082285745,16,T,5.5,"$GPGGA,184027.000,4158.4077,N,08754.0142,W,1,05,5.5,150.0,M,-34.1,M,,0000*69",
95,1706726428.0,GPS1_Frame,41.97346,-87.90023666666667,150.0,425413.23887106124,4647221.423178889,16,T,1.9,"$GPGGA,184028.000,4158.4076,N,08754.0142,W,1,06,1.9,150.0,M,-34.1,M,,0000*6C",
96,1706726429.0,GPS1_Frame,41.97346,-87.90023666666667,150.0,425413.23887106124,4647221.423178889,16,T,5.5,"$GPGGA,184029.000,4158.4076,N,08754.0142,W,1,05,5.5,150.0,M,-34.1,M,,0000*66",
97,1706726430.0,GPS1_Frame,41.97346,-87.90023666666667,150.0,425413.23887106124,4647221.423178889,16,T,1.9,"$GPGGA,184030.000,4158.4076,N,08754.0142,W,1,06,1.9,150.0,M,-34.1,M,,0000*65",
98,1706726431.0,GPS1_Frame,41.97346,-87.90023666666667,150.0,425413.23887106124,4647221.423178889,16,T,5.5,"$GPGGA,184031.000,4158.4076,N,08754.0142,W,1,05,5.5,150.0,M,-34.1,M,,0000*6F",
99,1706726432.0,GPS1_Frame,41.97346,-87.90023666666667,150.1,425413.23887106124,4647221.423178889,16,T,1.9,"$GPGGA,184032.000,4158.4076,N,08754.0142,W,1,06,1.9,150.1,M,-34.1,M,,0000*66",
100,1706726433.0,GPS1_Frame,41.97346,-87.90023666666667,150.1,425413.23887106124,4647221.423178889,16,T,1.9,"$GPGGA,184033.000,4158.4076,N,08754.0142,W,1,06,1.9,150.1,M,-34.1,M,,0000*67",
101,1706726434.0,GPS1_Frame,41.97346,-87.90023666666667,150.1,425413.23887106124,4647221.423178889,16,T,1.9,"$GPGGA,184034.000,4158.4076,N,08754.0142,W,1,06,1.9,150.1,M,-34.1,M,,0000*60",
102,1706726435.0,GPS1_Frame,41.97345833333333,-87.90023666666667,150.2,425413.236926392,4647221.238129201,16,T,1.9,"$GPGGA,184035.000,4158.4075,N,08754.0142,W,1,06,1.9,150.2,M,-34.1,M,,0000*61",
