Tau,Adev
418.0,3.7532719012245e-05
419.0,3.749456292403034e-05
420.0,3.745686885895966e-05
421.0,3.742102869977765e-05
422.0,3.73848321615038e-05
423.0,3.7347817467451654e-05
424.0,3.730918095363447e-05
425.0,3.726732247732185e-05
426.0,3.722454261142938e-05
427.0,3.7182853515351295e-05
428.0,3.7142403170125795e-05
429.0,3.710230584208685e-05
430.0,3.7061788005043016e-05
431.0,3.702239561865245e-05
432.0,3.698368261696107e-05
433.0,3.694445701989088e-05
434.0,3.6905825776305645e-05
435.0,3.6867722432048616e-05
436.0,3.6828491891852134e-05
437.0,3.678862599519577e-05
438.0,3.6748284883762056e-05
439.0,3.670785293859414e-05
440.0,3.666681645012284e-05
441.0,3.662569403748929e-05
442.0,3.6585289499805384e-05
443.0,3.6546022066210626e-05
444.0,3.650967123047228e-05
445.0,3.6473567469473024e-05
446.0,3.643772289036564e-05
447.0,3.640162862320585e-05
448.0,3.636332575828028e-05
449.0,3.632521784294162e-05
450.0,3.6288448666173064e-05
451.0,3.625182068263642e-05
452.0,3.621402394023507e-05
453.0,3.6176773412040134e-05
454.0,3.6138046126168754e-05
455.0,3.61012402223862e-05
456.0,3.60657438346839e-05
457.0,3.603237886351023e-05
458.0,3.599783101482703e-05
459.0,3.596333120539555e-05
460.0,3.592820076088234e-05
461.0,3.589257070111183e-05
462.0,3.585846733437006e-05
463.0,3.5826514267997394e-05
464.0,3.579458467849106e-05
465.0,3.576210421575162e-05
